AbelianGroupAxioms	ImpliesAbelianMcCuneAxioms	1/1	PROVED	0.03	27	Success
AbelianGroupAxioms	ImpliesAbelianMcCuneAxioms	1/1	PROVED	0.03	27	Success
AbelianGroupAxioms	ImpliesMcCuneAxioms	1/1	PROVED	0.03	24	Success
AbelianGroupAxioms	InverseOfComposite	1/1	PROVED	0.02	14	Success
AbelianGroupAxioms	InverseOfInverse	1/1	PROVED	0.02	11	Success
AbelianMcCuneAxioms	Associativity	1/1	PROVED	0.41	49	Success
AbelianMcCuneAxioms	Commutativity	1/1	PROVED	0.18	20	Success
AbelianMcCuneAxioms	ImpliesMcCuneAxioms	1/1	PROVED	0.22	39	Success
AbelianMcCuneAxioms	InverseOfComposite	1/1	PROVED	0.18	22	Success
AbelianMcCuneAxioms	InverseOfInverse	1/1	PROVED	0.03	13	Success
AbelianTarskiAxioms	Associativity	1/1	PROVED	0.02	13	Success
AbelianTarskiAxioms	Commutativity	1/1	PROVED	0.03	17	Success
AbelianTarskiAxioms	ImpliesHigmanNeumannAxioms	1/1	PROVED	0.02	9	Success
BooleanAxioms	Absorption	1/1	PROVED	0.05	30	Success
BooleanAxioms	AbsorptionOrAnd	1/1	PROVED	0.04	31	Success
BooleanAxioms	AndAssociativity	1/1	PROVED	0.12	70	Success
BooleanAxioms	AndCommutativity	1/1	PROVED	0.01	8	Success
BooleanAxioms	AndDistributivity	1/1	PROVED	0.01	8	Success
BooleanAxioms	AndIdempotence	1/1	PROVED	0.02	10	Success
BooleanAxioms	AndPreAssociativity	1/1	PROVED	0.03	24	Success
BooleanAxioms	DeMorgan	1/2	PROVED	0.59	149	Success
BooleanAxioms	DeMorgan	2/2	PROVED	0.61	150	Success
BooleanAxioms	DoubleNegation	1/1	PROVED	0.03	19	Success
BooleanAxioms	DroppingAlwaysFalse	1/1	PROVED	0.01	8	Success
BooleanAxioms	DroppingAlwaysTrue	1/1	PROVED	0.01	8	Success
BooleanAxioms	ExcludedMiddle	1/1	PROVED	25.27	252	Success
BooleanAxioms	ImpliesHuntingtonAxioms	1/3	PROVED	0.01	8	Success
BooleanAxioms	ImpliesHuntingtonAxioms	2/3	PROVED	0.14	57	Success
BooleanAxioms	ImpliesHuntingtonAxioms	3/3	PROVED	0.6	157	Success
BooleanAxioms	ImpliesRobbinsAxioms	1/3	PROVED	0.01	8	Success
BooleanAxioms	ImpliesRobbinsAxioms	2/3	PROVED	0.15	57	Success
BooleanAxioms	ImpliesRobbinsAxioms	3/3	PROVED	0.58	151	Success
BooleanAxioms	NegationRedundancy	1/1	PROVED	0.02	10	Success
BooleanAxioms	Noncontradiction	1/1	PROVED	24.25	363	Success
BooleanAxioms	OrAssociativity	1/1	PROVED	0.14	57	Success
BooleanAxioms	OrCommutativity	1/1	PROVED	0.01	8	Success
BooleanAxioms	OrDistributivity	1/1	PROVED	0.02	8	Success
BooleanAxioms	OrIdempotence	1/1	PROVED	0.02	10	Success
BooleanAxioms	Transposition	1/1	PROVED	0.03	20	Success
CombinatorAxioms	BCKWToSKI	1/3	PROVED	0.02	12	Success
CombinatorAxioms	BCKWToSKI	2/3	PROVED	0.03	18	Success
CombinatorAxioms	BCKWToSKI	3/3	PROVED	0.02	12	Success
CombinatorAxioms	SKIToBCKW	1/3	PROVED	10.45	19	Success
